what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458173109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458175781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458178343
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458178359
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458179312
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458179375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395458188671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458189859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458201578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1395458213703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458213984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458213984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458214093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458226406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458229890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458300921
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1395458302937
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1395458303265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458309390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458309390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458309500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395458342234
